,customer_id,star,enroll_date,content
0,ok vely,1,2023-06-30,느려도 느려도 이정도까지 느릴수가있나... 작업자가 메뉴 엉망으로 올려놔서 수정하고 메뉴삭제하고 추가하고 하는데 속터져죽음... 하루에한건 들어올까 말까인데 그나마도 없는메뉴들어와서 주문거부함;;;;;;
1,마마쮸,1,2023-04-05,배민은 포스에서 주문받으면 앱도 연동되서 알림이 멈춥니다 그런데 땡겨요는 포스에서 주문 받아도 그만 울려야 하는데 이건 계속 울립니다 폰열어서 끌때까지.. 환장한다 땡겨요는 영업중지 기능도 안되고 모든 기능이 타사 카피만 하고 관리도 업뎃도 없네요 그냥 삭제합니다
2,윤상일,3,2022-07-26,솔직히 수수료 저렴해서 너무너무 좋습니다. 근데 매장에서 프로그램 사용하는게 많이 불편하네요. 매장천사 프로그램 쓰고있는데 연동이 안되서 일일이 수기로 작성해야되고 그렇다고 주소나 요청사항이 복사도 안되니 이부분이 많이 불편하네요.
3,Sharp nam,5,2023-06-22,"오늘 앱 업데이트 하고나서 그런지는 잘 모르겠지만, 앱을 열면 초기 화면 뜨고나서 디버깅중일때는 개인정보 유출위험이 있어 앱 실행을 강제 종료합니다. 라는 메세지가 뜨면서 앱이 종료됩니다. 재설치해도 마찬가지네요. 해결방법 있을까요?"
4,이지윤,1,2022-09-21,어플을 닫으면 다음날 영업중지 상태로 계속 바뀝니다. 포스기 안쓰고 어플로만 쓰는 가게면 이거 굉장히 큰일인 문제에요. 빠르게 해결 요청드립니다.
5,미래갑부,1,2025-06-24,돌머리 상담사때문에 속터져요 답답하고 말귀를 못알아듣고 지가 혼자 말하다가 중간중간 멈춤 녹음본 가지고있는데 담당자나 매니저분 이 댓글 당신네 직원이 얼마나 답답한지 궁금하시면 녹음본 요청하세요 보내드릴게요
6,박하,5,2024-09-18,"수수료 문제에선 정말 좋습니다. 다른 배0이나 , 요기0보다 훠어어얼씬 낮아서 좋아요. 근데 메뉴관리나,배달비관리 같은게 너무 불편해요ㅠㅍ"
7,주이나,5,2025-02-16,배달중계의 유일한 희망이나 주문율이 너무 저조하네요 홍보 많이해서 많은 분들이 사용했으면 합니다.
8,요쏘나라,5,2025-01-14,잘사용하고 있습니다. 그런데 배달지역설정에서 기존에 있던 기상악화 배달지역설정이 사라져버렸네요. 저장해놓고 기상악화시 바꾸기만하면 되는거라 편했는데 왜 없애신건가요?
9,ul Y,4,2025-05-03,배달완료 버튼 해주면 좋게고요 그리고 배달.포장 별도로 임시중지 가능하면 좋겠어요
10,김재열,1,2023-08-17,진심 메뉴 품절시키는데 여러메뉴 클릭해서 한번에 품절시킬수있게하던가 메뉴하나하나 품절하는데 시간 겁나오래걸림
11,4월,4,2024-11-10,다 좋은데 포장 시간을 주문 받을 때 조정 가능했으면 좋겠어요 바쁠 때도 한가할 때도 포장 주문 시간이 고정이라서 좀 그렇네요
12,Rodrigo Messi,5,2022-02-24,정말 저렴하게 이용가능합니다!!!가게만 많아지고 어엿한 경쟁사로 자리만 잘잡으면 타사의 수수료거품이나 독점성향도 줄일수있을것같아 기대가 되네요 부디 신한에서 빵빵밀어주길....
13,이렇게,5,2022-05-21,저렴한 수수료가 장점이라 땡겨요만 배달비 할인이랑 무료이벤트 넣었습니다. 같이 성장하길 바라요!
14,문정,1,2023-01-29,주문오면 알림음이 안들립니다..어쩔수없이 정지시켜놓고 안쓰고있네요
15,안병혜,1,2022-09-02,프랜차이즈라 본사가 메뉴업데이트하면 바뀌는건 알겠는데 숨김처리한것들이 다 모조리 풀리면 어쩌라는겁니까? 타어플은 숨김처리는 그대로 유지던데 이건 매일숨김처리해야합니까?
16,샤월민초,1,2023-07-18,메뉴 숨김기능이 있으면 머해요 다보이는데요 품절매일시켜야하는것도 귀찮고 임시중지기능도없어서 수동으로 해제해야하는 불편함이있음
17,전종수,3,2023-10-03,메뉴수정과 가격수정이 넘 어려워서 적극적으로 사용하지 않게 됩니다 ㆍ배민이 잘 되어있어요
18,mk c,1,2025-05-12,적당히 하시죠. 땡배달 웃기지 마세요.옮겨타려 하는데 이러면 옮겨 갈 이유가 없는데요?
19,안재국,1,2022-12-09,비밀번호를 90 일마다 안바꾸면 접속을 않되게 해놨네요 이런 불편한 어플은 처음이네요
20,김현태,1,2022-07-28,이제시작이라브런지 업데이트가많아서 포스충돌이잦아서 포기했어요.
21,2사단스나이퍼,5,2024-03-08,"꾸준한 버젼업, 불편사항에 대한 세세한 귀기울임!!!"
22,이종진,5,2023-05-10,알림 잘옵니다.문제도 없습니다.사용자가 너무 적어서 문제 입니다.
23,Jiyoung Kim,1,2023-05-29,진심 느림.. 메뉴하나 닫는데 하루종일 걸림...
24,김진성,5,2022-03-02,"땡겨요 꼭 흥해서, 수수료거품 빼줬으면 좋겠습니다.."
25,yoosin nada7170@naver.com,5,2025-04-08,메뉴 음식 검색 할수 있는것좀 만들어주세요 일일이 찾는게 힘들어요
26,박한순,5,2025-03-23,장사가 좀 잘되길 ㅠ 문의면공주떡볶이12 (힘내자)~♡
27,머선129,1,2023-03-17,포스기에서 어느날부터영수증출력 안되네요 앱어플 너무 오류심해요
